"","t","Rcr","Pen_S","Pen_I","Pen_R","Macro_S","Macro_R","Multi_S","Multi_R","Totcarrier_T","Cross_T","Reduction","Scenario","Lambda","pi"
"5856118",365,0.58,0.613741067349187,0.346369533450566,0.0398893992002463,0.646392845238783,0.353607154761217,0.547621376592942,0.287487464004972,0.507585774263042,0.744286901100271,4,4,0.0285211777840458,0.504988509245106
"1119",0,0.58,0.57,0.361037735849056,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.504239800674577,0.58,1,1,0.0236982742449831,0.504239800674577
"366219",365,0.58,0.567834938583793,0.362716452964031,0.069448608452176,0.718987709196681,0.28101229080332,0.537396357688731,0.250573709908258,0.504804013700713,0.579810198184754,1,1,0.0236982742449831,0.504239800674577
"367119",0,0.58,0.57,0.361037735849056,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.504239800674577,0.58,2,1,0.0236982742449831,0.504239800674577
"732119",365,0.58,0.612985880281282,0.330398931661854,0.0566151880568644,0.742678066478907,0.257321933521093,0.580122698340471,0.224458751580283,0.514387299444222,0.579975613663448,2,1,0.0236982742449831,0.504239800674577
"733119",0,0.58,0.57,0.361037735849056,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.504239800674577,0.58,3,1,0.0236982742449831,0.504239800674577
"1098119",365,0.58,0.653427360806595,0.301142360422411,0.0454302787709945,0.763907554961321,0.236092445038679,0.618390467603083,0.201055551835168,0.525277530029099,0.580125287163734,3,1,0.0236982742449831,0.504239800674577
"1099119",0,0.58,0.57,0.361037735849056,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.504239800674577,0.58,4,1,0.0236982742449831,0.504239800674577
"1464119",365,0.58,0.688794045887776,0.27527306153465,0.0359328925775734,0.782480885163297,0.217519114836703,0.651853993824811,0.180579062773738,0.537291923766346,0.580255809336538,4,1,0.0236982742449831,0.504239800674577
"1465119",0,0.58,0.57,0.361037735849056,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.504239800674577,0.58,1,2,0.0236982742449831,0.504239800674577
"1830119",365,0.58,0.567834938583793,0.362716452964031,0.069448608452176,0.718987709196681,0.28101229080332,0.537396357688731,0.250573709908258,0.504804013700713,0.579810198184754,1,2,0.0236982742449831,0.504239800674577
"1831119",0,0.58,0.57,0.361037735849056,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.504239800674577,0.58,2,2,0.0236982742449831,0.504239800674577
"2196119",365,0.58,0.585374130261264,0.351279748769151,0.0633461209695856,0.728182707056461,0.271817292943539,0.553998937447133,0.240442100129408,0.508518234054298,0.579901346437731,2,2,0.0236982742449831,0.504239800674577
"2197119",0,0.58,0.57,0.361037735849056,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.504239800674577,0.58,3,2,0.0236982742449831,0.504239800674577
"2562119",365,0.58,0.605597683830755,0.33791015340289,0.056492162766355,0.738792342794016,0.261207657205984,0.573140930750361,0.228750904125589,0.513458835883809,0.579993815318843,3,2,0.0236982742449831,0.504239800674577
"2563119",0,0.58,0.57,0.361037735849056,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.504239800674577,0.58,4,2,0.0236982742449831,0.504239800674577
"2928119",365,0.58,0.634460362804086,0.318070820499888,0.0474688166960259,0.753944635712797,0.246055364287203,0.600455187775865,0.212050189258983,0.521634363905485,0.580101766488685,4,2,0.0236982742449831,0.504239800674577
"2929119",0,0.58,0.57,0.361037735849056,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.504239800674577,0.58,1,3,0.0236982742449831,0.504239800674577
"3294119",365,0.58,0.567834938583793,0.362716452964031,0.069448608452176,0.718987709196681,0.28101229080332,0.537396357688731,0.250573709908258,0.504804013700713,0.579810198184754,1,3,0.0236982742449831,0.504239800674577
"3295119",0,0.58,0.57,0.361037735849056,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.504239800674577,0.58,2,3,0.0236982742449831,0.504239800674577
"3660119",365,0.58,0.521904147974755,0.414967009778826,0.063128842246419,0.694907933321034,0.305092066678966,0.493925074550945,0.277112993255156,0.510403232473917,0.579618066296303,2,3,0.0236982742449831,0.504239800674577
"3661119",0,0.58,0.57,0.361037735849056,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.504239800674577,0.58,3,3,0.0236982742449831,0.504239800674577
"4026119",365,0.58,0.496592917855867,0.443475993907614,0.0599310882365187,0.681650772572072,0.318349227427928,0.469969235085302,0.291725544657363,0.514227931948614,0.579502265671021,3,3,0.0236982742449831,0.504239800674577
"4027119",0,0.58,0.57,0.361037735849056,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.504239800674577,0.58,4,3,0.0236982742449831,0.504239800674577
